dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,cache-references,cache-misses,memlib
10108470,2790456,2359786,71658068,7718246,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10638481,2979193,2518326,70510387,8794903,/usr/lib/libmesh.so
12135155,2757483,2323447,73110549,9231206,malloc
12311384,2688927,3360247,71926203,8098895,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11179282,3047992,2611625,72297168,7750239,/usr/lib/libmesh.so
10094072,2612357,1849129,70698059,8101018,malloc
11493780,3103733,2652226,71893728,7389401,/usr/lib/x86_64-linux-gnu/libjemalloc.so
9735462,2687706,2007918,70346881,7905163,/usr/lib/libmesh.so
malloc
11636016,2681682,2973905,70585444,7440366,/usr/lib/x86_64-linux-gnu/libjemalloc.so
13003934,3354115,3268145,72917953,8961159,/usr/lib/libmesh.so
10995175,2693178,2692729,71971235,7730140,malloc
10883830,2909126,2714501,71973372,7581869,/usr/lib/x86_64-linux-gnu/libjemalloc.so
/usr/lib/libmesh.so
11451180,3161058,2876190,70667258,7967810,malloc
11153074,2638826,2127850,69952321,7634437,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11765223,2814309,2366050,71652168,7311053,/usr/lib/libmesh.so
malloc
10850218,2680401,2413582,71155567,7560380,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11769482,2539848,2521538,70610152,7958578,/usr/lib/libmesh.so
10287556,2591576,2360377,71501417,8170933,malloc
11436028,2535261,2870298,69087262,7569533,/usr/lib/x86_64-linux-gnu/libjemalloc.so
/usr/lib/libmesh.so
10931225,2684737,2222696,70057646,6976576,malloc
16520196,2830415,3452082,71404732,7772650,/usr/lib/x86_64-linux-gnu/libjemalloc.so
11777027,2760069,2563064,72355855,8343835,/usr/lib/libmesh.so
12919657,3003601,2809285,72484737,8649841,malloc
9821211,2780784,1992303,71195711,7462975,/usr/lib/x86_64-linux-gnu/libjemalloc.so
12617098,2580941,2778508,72568482,7672818,/usr/lib/libmesh.so
11456660,2880721,2537463,70053458,8312132,malloc
11198095,2684218,2630862,70148949,9274333,/usr/lib/x86_64-linux-gnu/libjemalloc.so
9261638,2616781,2005971,72079605,9159634,/usr/lib/libmesh.so
10441164,2990682,2380467,71153080,8672577,malloc
12232754,2618747,2604104,69898881,8098352,/usr/lib/x86_64-linux-gnu/libjemalloc.so
10845615,2457637,2394038,73059857,8089138,/usr/lib/libmesh.so
13364038,3189786,3423133,72761573,8189236,malloc
10185330,2799809,2332980,71361630,7646943,/usr/lib/x86_64-linux-gnu/libjemalloc.so
9997273,2706760,2269961,70775900,7509298,/usr/lib/libmesh.so
11711376,2651075,2909027,71396132,8014408,malloc
10312655,2593108,2224874,70508786,8126264,/usr/lib/x86_64-linux-gnu/libjemalloc.so
14524213,2620313,3483746,72378903,7753490,/usr/lib/libmesh.so
13536979,2938549,3369834,71963545,8206594,malloc
12173386,3054357,2887007,72982925,8165406,/usr/lib/x86_64-linux-gnu/libjemalloc.so
