dTLB-load-misses,iTLB-load-misses,dTLB-store-misses,cache-references,cache-misses,memlib
6612813,260411,533983,181993647,81803369,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6458991,297580,571970,182030676,82546318,/usr/lib/libmesh.so
6496003,288373,590139,180695357,82792143,malloc
6344101,274532,533078,182180791,82362438,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6359283,286302,551730,182263450,82950611,/usr/lib/libmesh.so
6492384,365654,588095,182902639,82894047,malloc
6452648,291860,580573,182495510,82824434,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6596476,291813,558269,182492452,82558710,/usr/lib/libmesh.so
6481109,283645,568182,183665665,82906426,malloc
6328040,299292,539146,181768431,82526369,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6200945,265263,542132,181676670,82282497,/usr/lib/libmesh.so
6386876,277698,554145,181783993,82280120,malloc
6413695,305084,561041,182691314,82917089,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6458541,283180,562696,182096932,82625828,/usr/lib/libmesh.so
6310042,258103,534015,181808133,82152412,malloc
6416163,297698,563086,182237714,83028093,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6613999,293549,590894,182589425,82723792,/usr/lib/libmesh.so
6354631,284029,537351,181799919,81864874,malloc
6400837,258265,534311,182016721,82164807,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6441221,277483,533738,181729592,81993635,/usr/lib/libmesh.so
6285425,267468,520672,181968161,82231109,malloc
6447216,269836,529104,181738452,82116328,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6333011,299944,541476,181783135,82288537,/usr/lib/libmesh.so
6499719,282266,579864,182233194,82967140,malloc
6403705,277933,551304,182001065,82150072,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6350592,268207,557266,182038137,82349897,/usr/lib/libmesh.so
6828206,290854,562157,182153448,82738333,malloc
6386895,284131,547885,180978917,82003437,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6284798,266256,531638,181780871,82389280,/usr/lib/libmesh.so
6412120,300096,592559,182138735,82870693,malloc
6308594,341536,580408,182461690,82657407,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6359808,262258,525628,181812796,82202142,/usr/lib/libmesh.so
6561958,294235,547247,182538555,82890645,malloc
6242937,272038,558181,182071123,82575698,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6587399,293079,595204,182398035,82482234,/usr/lib/libmesh.so
6356794,267886,553784,181980378,82235124,malloc
6566696,285108,563205,182300414,82783501,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6658418,299755,575408,185377338,82784710,/usr/lib/libmesh.so
6329468,282521,577099,181892298,82651964,malloc
6374520,285525,541219,182275187,82788480,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6397993,263177,561602,182455476,82447119,/usr/lib/libmesh.so
6549609,281933,561414,186554236,82445890,malloc
6741410,296629,594377,182192661,82638470,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6331346,314117,561928,182429352,82783603,/usr/lib/libmesh.so
6253741,264219,528976,182058939,82556260,malloc
6572206,322265,586359,181883598,82603433,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6521986,272064,577674,192516954,82923274,/usr/lib/libmesh.so
6618018,311545,562908,182462806,82704502,malloc
6625472,306509,564368,182167598,82790661,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6334936,263797,553141,181528725,82430350,/usr/lib/libmesh.so
6437749,289613,563680,181504147,82227068,malloc
6429984,264540,551652,178559058,82377226,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6263080,282765,535244,181821097,82188038,/usr/lib/libmesh.so
6400424,260973,531157,182679276,82276163,malloc
6318497,265652,555683,181368811,82350991,/usr/lib/x86_64-linux-gnu/libjemalloc.so
6534091,339337,551540,182345617,82642810,/usr/lib/libmesh.so
