time	rss	kernel
0	1441792	167936
9108797	4141056	618496
17027504	12136448	647168
24869579	14356480	659456
32748047	16715776	663552
40617822	19075072	671744
48495300	21434368	692224
56365246	23793664	696320
64238270	26152960	700416
72116682	28512256	720896
79991041	30871552	724992
87866657	33230848	729088
95739632	35590144	749568
103612840	37687296	753664
111489665	39653376	774144
119351968	42012672	778240
127228276	44371968	798720
135110100	46731264	806912
142982987	49090560	811008
150856816	51449856	831488
158727986	53678080	835584
166601473	56037376	839680
174474987	58396672	860160
182349698	60755968	864256
190222783	63246336	868352
198099461	65474560	888832
205972525	67964928	897024
213848637	69931008	909312
221753749	72171520	929792
229595946	74530816	933888
237471251	76890112	937984
245346471	79118336	942080
253218376	81477632	962560
261093797	83836928	966656
268963073	86327296	987136
276839959	88686592	991232
284717102	91045888	999424
292584999	93405184	1003520
300460248	95633408	1024000
308336565	98123776	1028096
316215643	100483072	1032192
324087260	102842368	1052672
331954691	105070592	1056768
339839820	107565056	1064960
347699131	109793280	1085440
355579086	112152576	1089536
363467707	114642944	1093632
371320501	117002240	1114112
379187225	119361536	1118208
387068365	121720832	1122304
394953306	124080128	1142784
402828189	126439424	1146880
410697247	128667648	1150976
418566812	130895872	1175552
426439603	133386240	1179648
434317768	135352320	1191936
442186373	137711616	1212416
450060847	139939840	1216512
457934548	142168064	1220608
465851327	144396288	1224704
473688177	146624512	1245184
481558996	148852736	1249280
489436253	151212032	1253376
497311471	153440256	1273856
505186477	155668480	1277952
513060524	157896704	1282048
520930018	159993856	1302528
528809874	162222080	1306624
536681870	164319232	1310720
544556015	166547456	1331200
552427683	168775680	1335296
560300215	171003904	1339392
568173133	173232128	1347584
576053181	175460352	1368064
583923648	177819648	1372160
591788819	179916800	1376256
599654707	182276096	1396736
607546806	184504320	1400832
615413539	186732544	1404928
623289053	188960768	1425408
631229402	191320064	1429504
639040671	193548288	1433600
646917422	195514368	1454080
654791683	197742592	1458176
662664991	200101888	1462272
670537644	202461184	1466368
678409440	204951552	1486848
686284111	207310848	1495040
694160859	209801216	1499136
702036713	212160512	1519616
709907174	214650880	1523712
717783880	217010176	1527808
725655137	219369472	1548288
733528982	221859840	1556480
741405412	224350208	1564672
749282658	226709504	1585152
757148843	228937728	1589248
765026151	231297024	1593344
772901492	233787392	1613824
780771359	236277760	1617920
788649864	238637056	1622016
796521785	240996352	1646592
804392857	243486720	1650688
812272226	245977088	1654784
820142235	248336384	1675264
828021746	250826752	1679360
835877790	253186048	1683456
843749274	255676416	1703936
851619642	258035712	1712128
859549696	260395008	1716224
867381193	262623232	1736704
875254151	265113600	1740800
883139714	267603968	1744896
891012629	269963264	1765376
898885094	272322560	1769472
906759998	274812928	1777664
914631692	277303296	1798144
922508778	279662592	1802240
930381746	282152960	1806336
938256005	284512256	1826816
946125791	287002624	1830912
953995132	289361920	1835008
961874458	291852288	1859584
969745294	294211584	1863680
977617850	296570880	1875968
985497218	298930176	1896448
993373575	301420544	1900544
1001243248	303910912	1904640
1009121221	306270208	1925120
1016996590	308629504	1933312
1024867327	311119872	1937408
1032744825	313610240	1957888
1040617384	315969536	1961984
1048489955	318459904	1966080
1056365283	320688128	1986560
1064240405	323178496	1990656
1072096994	325406720	1994752
1079985680	327766016	2019328
1087862833	329994240	2023424
1095737935	332353536	2027520
1103610148	334712832	2048000
1111474681	337072128	2052096
1119347583	339431424	2056192
1127222036	341790720	2076672
1135102396	344150016	2080768
1142976412	346509312	2084864
1150852723	348999680	2109440
1158728914	351358976	2113536
1166597639	353849344	2117632
1174477724	356208640	2138112
1182346448	358699008	2142208
1190219713	360927232	2146304
1198088098	363286528	2150400
1205971744	365776896	2170880
1213839450	368267264	2179072
1221710428	370626560	2183168
1229586675	373116928	2203648
1237459985	375476224	2207744
1245336651	377966592	2211840
1253206943	380456960	2232320
1261082392	382816256	2240512
1268955783	385306624	2260992
1276830137	387665920	2265088
1284703804	390156288	2269184
1292586096	392515584	2273280
1300459711	394743808	2293760
1308326809	397365248	2297856
1316192939	399593472	2306048
1324081024	402083840	2326528
1331956783	404574208	2330624
1339829876	406933504	2334720
1347705355	409423872	2355200
1355598651	411783168	2359296
1363442014	414273536	2363392
1371315349	416632832	2387968
1379191756	419123200	2392064
1387076145	421613568	2396160
1394948653	423972864	2416640
1402820904	426463232	2420736
1410697106	428691456	2424832
1418570978	431050752	2449408
1426447687	433541120	2453504
1434301446	435900416	2461696
1442175345	438390784	2482176
1450051114	440750080	2486272
1457941112	442978304	2490368
1465815554	445337600	2510848
1473687648	447827968	2514944
1481558620	450056192	2519040
1489434965	452415488	2543616
1497310582	454905856	2547712
1505180002	457134080	2551808
1513057328	459624448	2572288
1520930078	461721600	2576384
1528804623	464080896	2580480
1536679968	466440192	2600960
1544578912	468930560	2605056
1552426638	471289856	2609152
1560301979	473780224	2629632
1568174384	476139520	2637824
1576044221	478498816	2641920
1583921798	480858112	2662400
1591796911	483348480	2666496
1599672247	485707776	2670592
1607536479	488198144	2691072
1615409569	490557440	2695168
1623283006	492916736	2703360
1631234461	495013888	2723840
1639038642	497504256	2727936
1646898265	499863552	2732032
1654788646	502353920	2752512
1662649426	504713216	2756608
1670539220	507072512	2760704
1678406964	509562880	2781184
1686284498	512053248	2789376
1694159617	514281472	2793472
1702034813	516771840	2813952
1709904809	519000064	2818048
1717777382	521490432	2822144
1725655671	523849728	2842624
1733530096	525946880	2846720
1741400966	528306176	2850816
1749278339	530665472	2854912
1757148132	533024768	2879488
1765027475	535384064	2883584
1772893367	537612288	2887680
1780778138	540102656	2908160
1788646895	542461952	2912256
1796522072	544821248	2916352
1804394459	547180544	2936832
1812268347	549408768	2940928
1820143602	551899136	2945024
1828016683	554258432	2965504
1835892849	556748800	2973696
1843760799	559239168	2977792
1851638110	561336320	3002368
1859552293	563695616	3006464
1867377969	566054912	3010560
1875252837	568414208	3031040
1883132719	570773504	3035136
1891004693	573132800	3039232
1898881371	575623168	3063808
1906757605	577982464	3067904
1914632433	580472832	3072000
1922503084	582832128	3092480
1930380040	585322496	3096576
1938255571	587681792	3100672
1946127692	590041088	3121152
1953997237	592400384	3125248
1961873841	594497536	3129344
1969748606	596987904	3137536
1977619588	599216128	3158016
1985493688	601575424	3162112
1993367852	604065792	3166208
2001245347	606556160	3186688
2009103086	608915456	3190784
2016992283	611274752	3194880
2024877186	613634048	3219456
2032737038	615993344	3223552
2040611960	618352640	3227648
2048486277	620711936	3248128
2056360242	623071232	3252224
2064237713	625430528	3256320
2072111730	627658752	3276800
2079986183	630018048	3280896
2087858209	632508416	3284992
2095728615	634867712	3309568
2103606648	637358080	3313664
2111482666	639586304	3317760
2119347616	641945600	3338240
2127222795	644304896	3342336
2135096628	646664192	3346432
2142975806	649154560	3366912
2150849968	651644928	3371008
2158722712	654004224	3379200
2166600506	656494592	3399680
2174470635	658853888	3403776
2182348353	661082112	3407872
2190222563	663441408	3428352
2198095062	665800704	3432448
2205966509	668160000	3436544
2213839862	670519296	3457024
2221718160	672878592	3461120
2229587721	675106816	3469312
2237462932	677466112	3489792
2245323978	679956480	3493888
2253194770	682315776	3497984
2261067320	684806144	3518464
2268940769	687165440	3522560
2276814674	689524736	3526656
2284688771	691884032	3551232
2292562549	694112256	3551232
2300437117	696471552	3559424
2308310641	698699776	3563520
2316184573	701059072	3584000
2324058477	703418368	3588096
2331933066	705908736	3592192
2339806524	708268032	3612672
2347680927	710758400	3616768
2355554274	713117696	3624960
2363438430	715476992	3645440
2371314750	717836288	3649536
2379190311	720195584	3653632
2387071075	722685952	3674112
2394945479	725045248	3678208
2402819258	727535616	3682304
2410693524	729763840	3702784
2418567240	732123136	3710976
2426441285	734482432	3715072
2434316289	736972800	3735552
2442186190	739332096	3739648
2450065714	741691392	3743744
2457934444	744050688	3764224
2465807054	746409984	3768320
2473682649	748900352	3772416
2481554593	751390720	3796992
2489423925	753618944	3801088
2497308959	755978240	3805184
2505178814	758468608	3825664
2513054646	760827904	3829760
2520928896	763056128	3833856
2528804004	765415424	3854336
2536673941	767774720	3858432
2544547957	770134016	3862528
2552422317	772493312	3887104
2560299653	774983680	3891200
2568169537	777342976	3895296
2576043727	779833344	3915776
2583916767	782192640	3919872
2591798565	784551936	3923968
2599665025	786780160	3944448
2607534926	789139456	3948544
2615404070	791629824	3956736
2623280774	794120192	3977216
2631233368	796348416	3981312
2639066174	798576640	3985408
2646912340	801067008	4005888
2654788074	803557376	4009984
2662667909	805916672	4014080
2670531624	808407040	4018176
2678412961	810766336	4042752
2686279843	813125632	4046848
2694158516	815616000	4050944
2702032811	817975296	4071424
2709889359	820334592	4075520
2717776377	822693888	4079616
2725654199	825053184	4100096
2733519869	827281408	4108288
2741402600	829509632	4108288
2749274318	831868928	4132864
2757149627	834097152	4136960
2765023760	836587520	4141056
2772897946	838946816	4161536
2780774494	841306112	4165632
2788646244	843796480	4169728
2796514756	846155776	4190208
2804389315	848515072	4194304
2812267816	850874368	4202496
2820137860	853364736	4222976
2828015289	855724032	4227072
2835887093	858083328	4231168
2843764570	860311552	4251648
2851628422	862539776	4255744
2859500489	864768000	4259840
2867372017	867127296	4280320
2875250308	869486592	4284416
2883169880	871845888	4288512
2890993198	874336256	4292608
2898875941	876695552	4317184
2906756070	879054848	4321280
2914631842	881545216	4341760
2922505302	883904512	4345856
2930377197	886394880	4349952
2938248159	888754176	4354048
2946122467	891113472	4378624
2953999858	893210624	4382720
2961871831	895832064	4386816
2969738340	898060288	4407296
2977616267	900419584	4411392
2985494902	902909952	4415488
2993369228	905269248	4435968
3001225059	907497472	4440064
3009097333	909856768	4448256
3016970998	912216064	4472832
3024845465	914575360	4476928
3032719053	916934656	4481024
3040593261	919293952	4501504
3048466924	921653248	4505600
3056341023	923750400	4509696
3064214364	926240768	4530176
3072091466	928600064	4534272
3079975050	931090432	4538368
3087884353	933449728	4562944
3095726859	935809024	4567040
3103605999	938299392	4571136
3111478328	940658688	4591616
3119342416	943017984	4595712
3127193434	945377280	4599808
3135094198	947736576	4620288
3142967330	950095872	4624384
3150851401	952586240	4632576
3158723456	954945536	4653056
3166580074	957304832	4657152
3174451251	959533056	4661248
3182325080	962023424	4681728
3190199582	964382720	4685824
3198073259	966742016	4689920
3205960031	969101312	4710400
3213845318	971591680	4718592
3221717412	973950976	4722688
3229586024	976310272	4726784
3237463339	978669568	4747264
3245337534	981028864	4751360
3253211854	983388160	4755456
3261085952	985616384	4775936
3268959014	987975680	4780032
3276833205	990466048	4784128
3284707199	992694272	4808704
3292577124	995053568	4812800
3300455812	997412864	4816896
3308328830	999772160	4837376
3316206211	1002131456	4841472
3324069635	1004490752	4845568
3331945907	1006850048	4866048
3339817810	1009209344	4870144
3347693226	1011568640	4874240
3355567349	1013796864	4898816
3363440692	1016287232	4902912
3371318587	1018646528	4907008
3379188868	1021136896	4927488
3387062587	1023496192	4931584
3394936983	1025724416	4935680
3402813316	1028083712	4956160
3410686339	1030574080	4960256
3418559654	1032933376	4968448
3426432337	1035423744	4988928
3434309961	1037651968	4993024
3442181518	1040011264	4997120
3450054162	1042370560	5017600
3457926176	1044598784	5021696
3465801635	1046958080	5025792
3473675103	1049317376	5046272
3481551527	1051676672	5050368
3489424941	1054035968	5058560
3497299626	1056395264	5062656
3505174637	1058492416	5083136
3513047671	1060851712	5087232
3520920569	1063211008	5091328
3528794921	1065570304	5111808
3536669263	1067929600	5115904
3544543236	1070288896	5120000
3552418617	1072779264	5140480
3560291314	1075138560	5148672
3568155779	1077497856	5148672
3576030221	1079726080	5173248
3583910979	1082085376	5177344
3591786529	1084444672	5181440
3599656041	1086803968	5201920
3607540956	1089294336	5206016
3615405473	1091653632	5210112
3623281030	1093881856	5238784
3631172975	1096241152	5242880
3639040375	1098600448	5246976
3646905640	1100959744	5271552
3654782334	1103450112	5275648
3662654692	1105809408	5279744
3670526306	1108168704	5300224
3678401049	1110528000	5304320
3686277865	1113018368	5308416
3694155137	1115508736	5332992
3702029632	1117736960	5337088
3709903226	1120096256	5341184
3717774200	1122586624	5361664
3725679407	1124814848	5365760
3733521334	1126912000	5369856
3741395815	1129402368	5390336
3749270879	1131761664	5394432
3757148167	1134120960	5398528
3765018035	1136480256	5419008
3772896550	1138839552	5423104
3780769667	1141198848	5431296
3788635301	1143427072	5435392
3796514391	1145786368	5455872
3804392295	1148145664	5459968
3812262178	1150504960	5464064
3820138467	1152864256	5484544
3828011601	1155223552	5488640
3835883644	1157320704	5492736
3843763033	1159811072	5513216
3851635238	1162170368	5521408
3859558950	1164529664	5525504
3867373501	1166888960	5545984
3875250273	1169117184	5550080
3883131758	1171476480	5554176
3891001222	1173966848	5574656
3898872640	1176326144	5578752
3906741930	1178685440	5582848
3914609967	1181044736	5607424
3922481732	1183535104	5611520
3930355654	1185894400	5615616
3938228882	1188253696	5636096
3946103005	1190350848	5640192
3953977148	1192710144	5644288
3961851016	1195069440	5664768
3969724873	1197559808	5668864
3977598921	1199919104	5672960
3985474470	1202409472	5697536
3993347454	1204637696	5701632
4001221039	1206996992	5705728
4009095470	1209356288	5726208
4016971041	1211715584	5730304
4024858400	1213943808	5734400
4032732717	1216434176	5738496
4040612545	1218793472	5758976
4048485703	1221152768	5763072
4056360083	1223643136	5767168
4064234355	1225740288	5791744
4072104190	1228099584	5795840
4079982938	1230327808	5799936
4087856836	1232818176	5820416
4095726648	1235177472	5824512
4103604077	1237667840	5828608
4111478904	1240027136	5849088
4119355469	1242255360	5853184
4127209719	1244614656	5857280
4135098748	1246973952	5881856
4142971841	1249464320	5885952
4150849623	1251823616	5890048
4158721727	1254182912	5910528
4166596938	1256411136	5914624
4174469420	1258770432	5918720
4182371284	1261129728	5939200
4190216768	1263489024	5943296
4198091047	1265848320	5947392
4205966976	1268207616	5971968
4213836311	1270435840	5976064
4221712661	1272795136	5980160
4229587798	1275154432	6000640
4237460633	1277513728	6004736
4245327824	1279741952	6008832
4253192394	1282101248	6012928
4261066063	1284460544	6033408
4268952451	1286819840	6037504
4276829805	1288916992	6041600
4284705163	1291145216	6066176
4292577074	1293635584	6070272
4300446655	1295994880	6074368
4308323074	1298485248	6094848
4316200709	1300844544	6098944
4324071267	1303203840	6103040
4331950710	1305432064	6123520
4339824920	1307791360	6127616
4347680765	1310150656	6135808
4355582921	1312509952	6156288
4363433422	1314738176	6164480
4371309896	1317097472	6168576
4379187322	1319325696	6189056
4387070067	1321684992	6193152
4394940402	1324044288	6197248
4402812868	1326534656	6217728
4410694987	1328893952	6221824
4418564411	1331253248	6225920
4426437763	1333612544	6246400
4434311916	1336102912	6254592
4442186156	1338462208	6258688
4450056123	1340690432	6262784
4457932353	1343049728	6283264
4465789274	1345277952	6287360
4473679809	1347637248	6291456
4481554085	1349865472	6311936
4489429299	1352093696	6316032
4497302308	1354452992	6320128
4505178751	1356812288	6340608
4513046416	1359302656	6348800
4520926208	1361661952	6352896
4528800886	1364021248	6373376
4536673996	1366380544	6377472
4544543933	1368739840	6381568
4552422440	1370968064	6402048
4560295587	1373327360	6406144
4568169665	1375686656	6410240
4576035829	1378045952	6430720
4583914285	1380405248	6438912
4591790822	1382895616	6443008
4599665882	1384992768	6463488
4607545526	1387352064	6471680
4615405946	1389580288	6475776
4623281078	1391808512	6496256
4631178148	1394036736	6500352
4639042133	1396264960	6504448
4646903283	1398493184	6508544
4654784048	1400721408	6529024
4662658047	1402949632	6533120
4670529268	1405177856	6537216
4678405905	1407406080	6557696
4686266423	1409634304	6561792
4694153288	1411731456	6569984
4702027713	1413828608	6586368
4709901460	1416056832	6590464
4717775679	1418285056	6594560
4725646729	1420513280	6602752
4733519738	1422741504	6623232
4741397043	1424838656	6627328
4749272466	1427197952	6631424
4757146504	1429426176	6651904
4765017513	1431654400	6656000
4772890599	1433751552	6660096
4780771241	1435979776	6680576
4788642057	1438208000	6684672
4796511861	1440436224	6688768
4804389316	1442664448	6692864
4812261766	1444761600	6713344
4820137184	1447120896	6717440
4828010189	1449480192	6721536
4835886457	1451839488	6742016
4843755138	1454067712	6746112
4851631550	1456427008	6754304
4859500013	1458655232	6770688
4867371248	1461014528	6778880
4875245622	1463373824	6782976
4883130039	1465733120	6803456
4891000382	1468092416	6807552
4898878031	1470582784	6811648
4906753181	1473073152	6832128
4914618592	1475039232	6836224
4922483004	1477398528	6844416
4930372912	1479888896	6864896
4938245009	1482248192	6868992
