time	rss	kernel
0	983040	167936
8881041	4915200	593920
16762381	11993088	626688
24632397	14221312	647168
32505837	16441344	643072
40382521	18669568	647168
48255159	20897792	667648
56130103	23126016	671744
64002748	25354240	675840
71876862	27451392	679936
79751590	29679616	700416
87626751	31776768	704512
95500816	34004992	708608
103371277	36233216	729088
111245281	38350848	733184
119122463	40316928	753664
126994419	42414080	757760
134867661	44642304	778240
142743766	46870528	782336
150617649	49098752	786432
158494335	51326976	806912
166367399	53555200	811008
174239006	55783424	815104
182113758	57880576	835584
189987213	60108800	839680
197861813	62337024	843776
205734239	64565248	864256
213608885	66793472	868352
221492596	69021696	876544
229360778	71118848	884736
237234232	73347072	909312
245106522	75575296	913408
252982621	77934592	917504
260853798	80162816	937984
268727242	82391040	942080
276601490	84619264	946176
284477595	86847488	966656
292349739	89075712	970752
300226268	91435008	974848
308097269	93663232	978944
315971302	95760384	999424
323844186	98119680	1003520
331719115	99954688	1007616
339593230	102182912	1028096
347469231	104280064	1032192
355345065	106508288	1036288
363215305	108736512	1056768
371092680	111095808	1060864
378969802	113192960	1064960
386840660	115421184	1069056
394721239	117649408	1089536
402585518	119877632	1097728
410458448	122105856	1101824
418333956	124211200	1122304
426206192	126439424	1126400
434080641	128667648	1130496
441954633	130633728	1150976
449875816	132861952	1155072
457698555	135090176	1159168
465576779	137318400	1163264
473451341	139677696	1183744
481335892	141774848	1187840
489198009	144003072	1191936
497070970	146231296	1212416
504947304	148459520	1216512
512822633	150687744	1220608
520698395	152915968	1241088
528579258	155144192	1245184
536443463	157372416	1249280
544318531	159600640	1269760
552191845	161566720	1282048
560072084	163926016	1286144
567937558	166154240	1290240
575813598	168382464	1310720
583695687	170610688	1318912
591563298	172838912	1323008
599434119	174936064	1343488
607306760	177164288	1347584
615183814	179523584	1351680
623056724	181751808	1372160
630931406	183980032	1376256
638804629	186208256	1380352
646678609	188305408	1400832
654553999	190664704	1404928
662426144	192630784	1409024
670300429	194727936	1413120
678175615	196956160	1433600
686049574	199184384	1437696
693922617	201412608	1441792
701803132	203640832	1462272
709670383	205869056	1466368
717548394	208097280	1470464
725419416	210325504	1474560
733294096	212684800	1495040
741169569	214913024	1499136
749041898	217141248	1503232
756915876	219369472	1527808
764792282	221728768	1531904
772664255	223694848	1536000
780536986	226054144	1556480
788411794	228282368	1560576
796286035	230379520	1564672
804160219	232607744	1585152
812034614	234835968	1589248
819907128	237195264	1593344
827780989	239423488	1597440
835659198	241651712	1617920
843527522	243879936	1622016
851402196	246108160	1626112
859278674	248467456	1646592
867155861	250695680	1650688
875026463	252923904	1654784
882898676	254889984	1675264
890774916	257249280	1679360
898647063	259346432	1683456
906520906	261705728	1708032
914395385	263933952	1712128
922267729	266162176	1716224
930143970	268390400	1720320
938018064	270749696	1740800
945886722	273108992	1744896
953758896	275206144	1748992
961635672	277434368	1769472
969513537	279662592	1773568
977390847	281890816	1777664
985262216	284119040	1806336
993136420	286347264	1810432
1001010472	288575488	1814528
1008884772	290803712	1835008
1016757723	293031936	1839104
1024633340	295391232	1843200
1032504041	297619456	1851392
1040382561	299847680	1871872
1048255386	302075904	1875968
1056126604	304304128	1880064
1064001348	306663424	1900544
1071875780	308760576	1904640
1079750914	311119872	1908736
1087630676	313348096	1929216
1095499676	315445248	1933312
1103378327	317673472	1937408
1111247006	320032768	1957888
1119120753	322260992	1961984
1126998657	324489216	1970176
1134874042	326848512	1974272
1142746814	329207808	1994752
1150621818	331436032	1998848
1158496136	333664256	2007040
1166370133	336023552	2027520
1174241202	338382848	2031616
1182116338	340611072	2035712
1189994182	342839296	2056192
1197878147	344936448	2060288
1205733037	347295744	2064384
1213608689	349523968	2084864
1221495472	351883264	2088960
1229364302	354242560	2093056
1237235340	356601856	2113536
1245111736	358830080	2117632
1252980113	361189376	2121728
1260857930	363417600	2129920
1268728839	365776896	2150400
1276604478	368136192	2154496
1284474256	370364416	2158592
