time	rss	kernel
0	1130496	163840
11166760	1683456	339968
21207257	5484544	339968
31178890	7659520	532480
41178976	7659520	532480
51174495	8699904	741376
61181967	8699904	741376
71187245	8699904	741376
81188340	8699904	741376
91181733	8699904	741376
101179515	8699904	741376
111183078	8699904	741376
121182350	8699904	741376
131181467	8699904	741376
141178849	8663040	741376
151174367	8663040	741376
161177128	8663040	741376
171178764	8663040	741376
181181780	8663040	741376
191182933	8663040	741376
201182208	8663040	741376
211181537	8663040	741376
221177010	8663040	741376
231178444	8663040	741376
241178035	8663040	741376
251181874	8663040	741376
261181747	8663040	741376
271185610	8609792	741376
281182896	8609792	741376
291183383	8609792	741376
301215970	8544256	741376
311178063	8544256	741376
321181256	8544256	741376
331179189	8544256	741376
341176938	8544256	741376
351182656	8425472	741376
361182422	8425472	741376
371217612	8425472	741376
381172745	8556544	741376
391179658	13930496	765952
401174885	19435520	770048
411179118	22843392	774144
421177440	26382336	782336
431177772	29659136	786432
441176722	33067008	794624
451174887	36474880	802816
461173084	39751680	806912
471174519	43159552	815104
481172852	46567424	819200
491174785	49975296	827392
501173011	53252096	835584
511173277	56659968	839680
521172716	59936768	847872
531174442	63344640	851968
541172212	66752512	860160
551173901	70029312	868352
561174363	73437184	872448
571178224	76845056	880640
581172703	80121856	884736
591170918	83271680	892928
601171678	86548480	901120
611171554	89694208	905216
621173706	92839936	913408
631174813	96116736	917504
641173433	99262464	925696
651176402	102539264	929792
661174723	105684992	937984
671172891	108961792	942080
681173130	112238592	950272
691176862	115384320	954368
701172978	118661120	962560
711172335	121937920	966656
721173720	125083648	974848
731174015	128491520	983040
741172822	131506176	987136
751177277	134782976	995328
761174971	137928704	999424
771174941	141205504	1007616
781175237	144482304	1011712
791175470	147628032	1019904
801173238	150904832	1024000
811174285	154050560	1032192
821176000	157327360	1036288
831176257	160473088	1044480
841173957	163618816	1048576
851174852	166895616	1056768
861175364	170041344	1060864
871177928	173318144	1069056
881174756	176463872	1073152
891183271	179740672	1081344
901169543	182624256	1085440
911164452	185769984	1093632
921161177	188784640	1097728
931171774	191930368	1105920
941174932	195076096	1110016
951173349	198221824	1118208
961173739	201367552	1122304
971174417	204513280	1130496
981173577	207659008	1134592
991173880	210804736	1142784
1001174986	213950464	1146880
1011177164	216965120	1155072
1021175930	220110848	1159168
1031175024	223256576	1167360
1041165643	226271232	1171456
1051173647	229154816	1175552
1061173545	232169472	1183744
1071173756	235184128	1187840
1081173734	238329856	1196032
1091174042	241344512	1200128
1101173096	244359168	1208320
1111175467	247373824	1212416
1121173782	250388480	1220608
1131181291	253403136	1224704
1141176230	256548864	1228800
1151177810	259563520	1236992
1161175334	262578176	1241088
1171178760	263626752	1245184
1181181988	263626752	1245184
1191169207	263626752	1245184
1201168521	263626752	1245184
1211169330	263626752	1245184
1221169593	263626752	1245184
1231173152	263626752	1245184
1241169380	263626752	1245184
1251173297	263626752	1245184
1261171276	263626752	1245184
1271170585	263626752	1245184
1281180219	263626752	1245184
1291173413	263626752	1245184
1301170370	263626752	1245184
1311170385	263626752	1245184
1321167802	263626752	1245184
1331169585	263626752	1245184
1341178135	263626752	1245184
1351182048	263626752	1245184
1361179850	263626752	1245184
1371180459	263626752	1245184
1381177573	263626752	1245184
1391176442	263626752	1245184
1401176868	263626752	1245184
1411175330	263626752	1245184
1421173813	263626752	1245184
1431175987	263626752	1245184
1441173381	263626752	1245184
