time	rss	kernel
0	1572864	0
11094493	3428352	0
21037301	3428352	0
31044289	3428352	0
41052470	3420160	0
51047401	3293184	0
61044363	3207168	0
70956091	2899968	0
81023137	2899968	0
91015755	2899968	0
100981365	2899968	0
111018830	2899968	0
121040227	2899968	0
131019609	2899968	0
140959744	2899968	0
151019803	2899968	0
160990301	2899968	0
171047059	2899968	0
181014353	2899968	0
191041598	2899968	0
201037646	2838528	0
211051284	2838528	0
221021104	2838528	0
231040507	2838528	0
241045900	2838528	0
251011975	2838528	0
261046964	2838528	0
271059218	2838528	0
281012272	2838528	0
291050577	2772992	0
301040715	2772992	0
311060686	2772992	0
321052929	2772992	0
331013557	2772992	0
341025002	2772992	0
351062413	2772992	0
361024726	2772992	0
371014290	2772992	0
381024902	2772992	0
391057408	2772992	0
401023000	2772992	0
411051926	2772992	0
421054489	2772992	0
431013905	2772992	0
441025966	2772992	0
450984097	2772992	0
461020759	2772992	0
471018373	2772992	0
481060710	2772992	0
491048963	2772992	0
501027813	2772992	0
511060034	2772992	0
521054127	2772992	0
531013652	2772992	0
541054412	2772992	0
551050242	2772992	0
560961324	2772992	0
571013443	2772992	0
581047155	2772992	0
591048081	2772992	0
601045296	2772992	0
611019997	2772992	0
621017694	2772992	0
631020845	2772992	0
641019416	2772992	0
651020271	2772992	0
661024821	2772992	0
671011486	2772992	0
681014059	2772992	0
691025398	2772992	0
701028352	2772992	0
710967338	2772992	0
721025019	2772992	0
731049699	2772992	0
741016958	2772992	0
751015298	2772992	0
761016093	2772992	0
771017160	2772992	0
781018081	2772992	0
791036104	2772992	0
801015476	2772992	0
811029676	2772992	0
821015840	2772992	0
831041699	2772992	0
840974689	2772992	0
851014872	2772992	0
861050718	2772992	0
871045351	2772992	0
881053453	2772992	0
891035336	2772992	0
901045998	2772992	0
911044246	2772992	0
921017035	2772992	0
931043317	2772992	0
941017564	2772992	0
951044210	2772992	0
961032134	2772992	0
971057584	2772992	0
981053043	2772992	0
991014311	2772992	0
1001052508	2772992	0
1011049426	2772992	0
1021041166	2772992	0
1030953086	2772992	0
1041050697	2772992	0
1051013574	2772992	0
